MatchDate,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form3Away,Form5Home,Form5Away
2001-02-24,Bayern Munich,1. FC Koln,1852.59,1634.53,6.0,0.0,12.0,4.0
2001-02-24,Eintracht Frankfurt,Werder Bremen,1606.59,1675.29,7.0,7.0,7.0,11.0
2001-02-24,SC Freiburg,Munich 1860,1663.85,1636.12,7.0,4.0,11.0,7.0
2001-02-24,Hamburger SV,VfL Wolfsburg,1664.65,1700.27,3.0,4.0,3.0,8.0
2001-02-24,Schalke 04,Borussia Dortmund,1705.14,1685.59,3.0,4.0,7.0,10.0
2001-02-25,VfL Bochum,VfB Stuttgart,1544.29,1649.5,1.0,3.0,1.0,4.0
2001-02-25,Kaiserslautern,Hansa Rostock,1694.96,1591.23,6.0,4.0,10.0,4.0
2001-03-02,Borussia Dortmund,Eintracht Frankfurt,1702.05,1607.91,5.0,4.0,8.0,7.0
2001-03-03,1. FC Koln,Hertha,1639.65,1681.2,1.0,6.0,4.0,9.0
2001-03-03,Cottbus,Kaiserslautern,1577.85,1703.92,3.0,6.0,6.0,7.0
2001-03-03,Hansa Rostock,Bayern Munich,1620.48,1856.53,7.0,4.0,7.0,10.0
2001-03-03,VfB Stuttgart,VfL Wolfsburg,1640.69,1694.06,1.0,4.0,4.0,5.0
2001-03-03,Unterhaching,VfL Bochum,1610.67,1556.51,3.0,2.0,4.0,2.0
2001-03-03,Werder Bremen,SC Freiburg,1696.41,1661.3,7.0,4.0,13.0,10.0
2001-03-04,Munich 1860,Bayer Leverkusen,1658.89,1750.33,4.0,3.0,7.0,9.0
2001-03-04,Schalke 04,Hamburger SV,1702.34,1670.13,4.0,6.0,7.0,6.0
2001-03-07,Hertha,Unterhaching,1681.2,1610.67,3.0,6.0,9.0,6.0
2001-03-09,Bayer Leverkusen,Werder Bremen,1750.33,1696.41,0.0,9.0,6.0,13.0
2001-03-10,Bayern Munich,Cottbus,1856.53,1577.85,1.0,3.0,7.0,6.0
2001-03-10,VfL Bochum,1. FC Koln,1556.51,1639.65,2.0,4.0,2.0,4.0
2001-03-10,Eintracht Frankfurt,Schalke 04,1607.91,1702.34,1.0,1.0,7.0,4.0
2001-03-10,SC Freiburg,Borussia Dortmund,1661.3,1702.05,3.0,7.0,7.0,8.0
2001-03-10,Hertha,Hansa Rostock,1681.2,1620.48,6.0,9.0,9.0,10.0
2001-03-10,VfL Wolfsburg,Unterhaching,1694.06,1610.67,1.0,6.0,4.0,6.0
2001-03-11,Hamburger SV,VfB Stuttgart,1670.13,1640.69,6.0,4.0,9.0,7.0
2001-03-11,Kaiserslautern,Munich 1860,1703.92,1658.89,6.0,7.0,9.0,10.0
2001-03-16,1. FC Koln,VfL Wolfsburg,1652.8,1694.74,7.0,3.0,7.0,7.0
2001-03-17,Munich 1860,Bayern Munich,1660.97,1838.35,6.0,4.0,7.0,7.0
2001-03-17,Cottbus,Hertha,1564.65,1682.24,3.0,6.0,3.0,9.0
2001-03-17,Borussia Dortmund,Bayer Leverkusen,1710.35,1749.31,5.0,3.0,9.0,6.0
2001-03-17,Eintracht Frankfurt,Hamburger SV,1598.25,1676.49,1.0,7.0,5.0,10.0
2001-03-17,Hansa Rostock,VfL Bochum,1626.37,1543.07,6.0,1.0,10.0,2.0
2001-03-17,Schalke 04,SC Freiburg,1690.19,1652.09,2.0,1.0,5.0,5.0
2001-03-18,Unterhaching,VfB Stuttgart,1600.94,1649.99,3.0,5.0,6.0,5.0
2001-03-18,Werder Bremen,Kaiserslautern,1694.16,1721.14,6.0,6.0,10.0,12.0
2001-03-30,VfL Wolfsburg,Hansa Rostock,1694.74,1626.37,4.0,6.0,5.0,12.0
2001-03-31,Bayern Munich,Werder Bremen,1838.35,1694.16,6.0,3.0,7.0,9.0
2001-03-31,SC Freiburg,Eintracht Frankfurt,1652.09,1598.25,2.0,2.0,5.0,3.0
2001-03-31,Hamburger SV,Unterhaching,1676.49,1600.94,5.0,1.0,8.0,7.0
2001-03-31,Hertha,Munich 1860,1682.24,1660.97,6.0,3.0,9.0,7.0
2001-03-31,Bayer Leverkusen,Schalke 04,1749.31,1690.19,6.0,2.0,6.0,3.0
2001-03-31,VfB Stuttgart,1. FC Koln,1649.99,1652.8,5.0,7.0,6.0,8.0
2001-04-01,VfL Bochum,Cottbus,1543.18,1584.23,0.0,3.0,2.0,6.0
2001-04-01,Kaiserslautern,Borussia Dortmund,1750.99,1702.1,9.0,4.0,12.0,8.0
