Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,PSH,PSD,PSA
2223,2022-10-22,Bayer Leverkusen,VfL Wolfsburg,2,2,D,13.0,9.0,5.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,1.7,4.2,4.5,1.74,4.31,4.6
2223,2022-10-22,TSG Hoffenheim,Bayern Munich,0,2,A,7.0,23.0,3.0,10.0,7.0,5.0,3.0,2.0,0.0,0.0,5.5,5.0,1.5,5.89,4.97,1.53
2223,2022-10-22,SC Freiburg,Werder Bremen,2,0,H,25.0,10.0,7.0,2.0,6.0,2.0,2.0,2.0,0.0,1.0,1.9,3.75,3.8,1.94,3.86,4.0
2223,2022-10-22,Borussia Dortmund,VfB Stuttgart,5,0,H,19.0,10.0,10.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,1.53,4.75,5.5,1.57,4.44,6.06
2223,2022-10-22,FC Augsburg,RB Leipzig,3,3,D,11.0,19.0,3.0,8.0,3.0,6.0,7.0,1.0,1.0,0.0,5.5,4.33,1.57,5.75,4.4,1.6
2223,2022-10-23,VfL Bochum,Union Berlin,2,1,H,8.0,6.0,5.0,3.0,3.0,7.0,1.0,3.0,0.0,0.0,4.33,3.4,1.9,4.48,3.48,1.95
2223,2022-10-23,Hertha,Schalke 04,2,1,H,11.0,9.0,4.0,2.0,5.0,6.0,5.0,1.0,0.0,0.0,1.75,3.75,4.75,1.78,3.99,4.71
2223,2022-10-28,Werder Bremen,Hertha,1,0,H,15.0,9.0,4.0,1.0,4.0,5.0,2.0,3.0,0.0,0.0,2.0,3.8,3.4,2.06,3.99,3.49
2223,2022-10-29,Eintracht Frankfurt,Borussia Dortmund,1,2,A,20.0,8.0,8.0,2.0,4.0,3.0,5.0,5.0,0.0,0.0,2.75,3.75,2.4,2.88,3.7,2.47
2223,2022-10-29,VfB Stuttgart,FC Augsburg,2,1,H,31.0,12.0,8.0,6.0,10.0,3.0,1.0,2.0,0.0,0.0,1.8,3.8,4.33,1.81,3.98,4.51
2223,2022-10-29,VfL Wolfsburg,VfL Bochum,4,0,H,22.0,10.0,7.0,3.0,7.0,2.0,1.0,1.0,0.0,0.0,1.65,4.2,4.75,1.72,4.24,4.85
2223,2022-10-29,Bayern Munich,FSV Mainz 05,6,2,H,25.0,13.0,12.0,5.0,8.0,5.0,1.0,1.0,0.0,0.0,1.25,6.5,11.0,1.27,6.7,10.23
2223,2022-10-29,RB Leipzig,Bayer Leverkusen,2,0,H,10.0,4.0,6.0,1.0,3.0,3.0,3.0,3.0,0.0,0.0,1.8,4.0,4.1,1.83,4.12,4.27
